OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,32.42357,-88.45346,2025-01-27T22:17:39.939826,SUCCESS
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,48.9674,-97.25833,2025-01-27T22:17:40.510822,SUCCESS
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,36.67768,-101.48141,2025-01-27T22:17:41.121824,SUCCESS
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,27.56466,-99.50263,2025-01-27T22:17:41.699617,SUCCESS
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.98306,-109.7453,2025-01-27T22:17:42.291617,SUCCESS
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,36.10394,-84.02257,2025-01-27T22:17:42.859616,SUCCESS
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,35.90494,-84.14963,2025-01-27T22:17:43.458614,SUCCESS
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.03991,-104.83175,2025-01-27T22:17:44.037529,SUCCESS
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,39.98372,-81.45912,2025-01-27T22:17:44.647528,SUCCESS
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,34.28553,-83.82596,2025-01-27T22:17:45.275533,SUCCESS
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.61636,-88.65898,2025-01-27T22:17:45.860527,SUCCESS
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.43393,-86.89103,2025-01-27T22:17:46.424206,SUCCESS
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.3647,-89.15664,2025-01-27T22:17:47.066204,SUCCESS
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.88285,-92.37661,2025-01-27T22:17:47.663201,SUCCESS
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.5698,-87.40981,2025-01-27T22:17:48.293853,SUCCESS
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,32.77936,-111.62324,2025-01-27T22:17:48.880221,SUCCESS
